Head Size,Length,Short,Long,Place 1,Place 2,Place 3
2,4,6.5,7.2,"30,57,81","-15,54,80","-70,50,83"
2,6,8.4,9.2,"30,57,81","-15,54,80","-70,48,83"
2,8,9.9,11,"30,57,81","-15,54,80","-70,48,83"
2,10,12.6,13.5,"30,57,81","-15,54,80","-70,48,83"
2,12,14.3,15.6,"30,57,81","-15,54,80","-70,48,83"
2,14,17,17.5,"30,57,81","-15,54,80","-70,46,83"
2,16,18.7,19.3,"30,57,81","-15,54,80","-70,46,83"
2,20,22.4,23.1,"30,58,81","-15,55,80","-70,50,83"
3,6,8.4,9.2,"30,57,81","-15,54,80","-70,50,83"
3,8,11.5,12.7,"30,57,81","-15,54,80","-70,48,83"
3,10,13.4,15,"30,57,81","-15,54,80","-70,48,83"
3,12,15.2,17.1,"30,57,81","-15,54,80","-70,48,83"
3,15,18.3,20.1,"30,57,81","-15,54,80","-70,48,83"
3,16,19.7,21.3,"30,57,81","-15,54,80","-70,48,83"
3,20,26.3,27.2,"30,58,81","-15,54,80","-70,48,83"
3,25,31.2,32.2,"30,58,81","-15,55,80","-70,49,83"
3,35,41.3,42.1,"30,57,81","-15,55,80","-70,50,83"
3,40,44,44.8,"30,57,81","-15,55,80","-70,50,83"
4,6,9.4,11.5,"30,57,81","-15,54,80","-70,50,83"
4,8,12.6,14.37,"30,57,81","-15,54,80","-70,50,83"
4,10,14.37,16.3,"30,57,81","-15,54,80","-70,50,83"
4,12,16.6,18.4,"30,57,81","-15,54,80","-70,50,83"
4,16,21.1,21.8,"30,57,81","-15,54,80","-70,50,83"
4,20,25,25.8,"30,57,81","-15,54,80","-70,50,83"
4,25,29.8,30.6,"30,57,81","-15,54,80","-70,50,83"
4,30,35.4,36.6,"30,57,81","-15,54,80","-70,50,83"
4,35,40.6,41.3,"30,57,81","-15,54,80","-70,50,83"
4,40,44.9,46.2,"30,57,81","-15,51,80","-70,47,83"
4,45,50.5,51.8,"30,57,81","-15,54,80","-70,50,83"
5,6,10.5,13.2,"30,57,81","-15,54,80","-70,50,83"
5,8,14.3,15.68,"30,57,81","-15,54,80","-70,50,83"
5,10,15.69,17.3,"30,57,81","-15,54,80","-70,50,83"
5,12,17.9,19.9,"30,57,81","-15,54,80","-70,50,83"
5,16,21.6,23.3,"30,57,81","-15,54,80","-70,50,83"
5,20,26.3,27.5,"30,57,81","-15,54,80","-70,50,83"
5,25,31.2,32.2,"30,55,81","-15,52,80","-70,51,83"
5,30,35.7,37.1,"30,55,81","-15,52,80","-70,44,83"
5,35,41.3,42.1,"30,55,81","-15,52,80","-70,44,83"
5,40,46.3,47.6,"30,55,81","-15,50,80","-70,44,83"
5,45,50.9,53,"30,53,81","-15,50,80","-70,44,83"
6,10,17.2,18.3,"30,55,81","-15,52,80","-70,44,83"
6,14,21,23.5,"30,55,81","-15,52,80","-70,44,83"
6,16,21.1,25.3,"30,55,81","-15,52,80","-70,44,83"
6,20,26.5,28.5,"30,55,81","-15,52,80","-70,44,83"
6,25,31.5,33.6,"30,53,81","-15,48,80","-70,44,83"
6,30,37.4,38.9,"30,48,81","-15,48,80","-70,44,83"
6,35,42,44,"30,48,81","-15,48,80","-70,44,83"
6,40,47.5,48.4,"30,48,81","-15,47,80","-70,44,83"
6,45,52.6,53.9,"30,47,81","-15,46,80","-70,44,83"
,,,,,,
,,,,,,
LEAVE AT LEAST ONE EMPTY SPACE BETWEEN LAST SCREW TYPE AND THIS LINE,,,,,,
Head sizes (mm),,,,,,
2,3,4,5,6,,
5,6.7,8.55,10,20,,
,,,,,,
Turntable angles,,,,,,
0,7,14,21,28,,
1 full round,,,,,,
36,,,,,,
